Depth ice/snow [m]	Gas age [ka BP]	δ13C CO2 [‰ PDB]	δ13C std e [±]	δ15N-N2 [‰ air]	δ15N std dev [±]	Core	Repl [#]	Flag [#]	Reference
1062.575	68.540	-6.54		0.43		EDC	1	0	this study (sublimation)
1297.850	68.917	-6.34		0.36		Talos Dome	1	0	Schneider (2011) (sublimation)
1299.115	69.488	-6.30	0.010	0.35		Talos Dome	3	0	Schneider (2011) (sublimation)
1299.285	69.564	-6.52		0.34		Talos Dome	1	0	this study (sublimation)
1090.075	71.327	-6.63		0.42		EDC	1	0	this study (sublimation)
1305.920	72.442	-6.47		0.37		Talos Dome	1	0	Schneider (2011) (sublimation)
1106.575	72.652	-6.33		0.42		EDC	1	0	this study (sublimation)
1307.845	73.251	-6.54		0.37		Talos Dome	1	0	this study (sublimation)
1307.920	73.284	-6.45		0.37		Talos Dome	1	0	Schneider (2011) (sublimation)
1313.920	75.771	-6.39		0.38		Talos Dome	1	0	Schneider (2011) (sublimation)
1315.870	76.468	-6.32	0.040	0.37		Talos Dome	2	0	Schneider (2011) (sublimation)
1321.870	79.070	-6.32	0.120	0.37		Talos Dome	3	0	Schneider (2011) (sublimation)
1323.670	79.870	-6.42	0.014	0.39	0.006	Talos Dome	2	0	this study (sublimation)
1323.837	79.943	-6.52	0.020	0.37		Talos Dome	3	0	Schneider (2011) (sublimation)
1329.655	82.468	-6.44	0.040	0.38		Talos Dome	3	0	Schneider (2011) (sublimation)
1222.075	83.133	-6.53		0.44		EDC	1	0	this study (sublimation)
1331.645	83.365	-6.60		0.42		Talos Dome	1	0	this study (sublimation)
1331.870	83.465	-6.48	0.040	0.39		Talos Dome	3	0	Schneider (2011) (sublimation)
1244.075	84.608	-6.68		0.43		EDC	1	0	this study (sublimation)
1337.655	86.082	-6.53	0.080	0.38		Talos Dome	3	0	Schneider (2011) (sublimation)
1339.870	87.226	-6.34	0.170	0.37		Talos Dome	3	0	Schneider (2011) (sublimation)
1279.075	87.932	-6.41		0.37		EDC	1	0	this study (sublimation)
1282.495	88.403	-6.42		0.39		EDC	1	0	this study (sublimation)
1309.995	91.184	-6.28		0.40		EDC	1	0	this study (sublimation)
1348.480	92.304	-6.54	0.110	0.38		Talos Dome	4	0	Schneider (2011) (sublimation)
1326.495	92.900	-6.45		0.40		EDC	1	0	this study (sublimation)
1349.870	93.041	-6.63		0.38		Talos Dome	1	0	Schneider (2011) (sublimation)
1359.575	95.527	-6.75		0.39		EDC	1	0	this study (sublimation)
1356.895	96.431	-6.63		0.40		Talos Dome	1	0	this study (sublimation)
1370.575	96.463	-6.61		0.42		EDC	1	0	this study (sublimation)
1359.895	97.825	-6.50		0.40		Talos Dome	1	0	this study (sublimation)
1363.820	99.721	-6.81	0.134	0.40	0.000	Talos Dome	2	0	this study (sublimation)
1409.000	99.996	-6.51	0.006	0.43	0.007	EDC	3	0	this study (sublimation)
1365.870	100.759	-6.98	0.049	0.39	0.004	Talos Dome	2	1	this study (sublimation)
1419.550	100.776	-6.55		0.43		EDC	1	0	this study (sublimation)
1372.895	104.748	-6.86		0.38		Talos Dome	1	0	this study (sublimation)
1463.550	105.228	-6.67		0.44		EDC	1	0	this study (sublimation)
1373.785	105.352	-6.90		0.38		Talos Dome	1	1	this study (sublimation)
1379.595	110.247	-6.91	0.007	0.35	0.007	Talos Dome	2	1	this study (sublimation)
1389.665	117.903	-6.55		0.29		Talos Dome	1	0	this study (sublimation)
1403.635	125.754	-7.00		0.35		Talos Dome	1	0	this study (sublimation)
1405.845	126.820	-6.90		0.37		Talos Dome	1	0	this study (sublimation)
1419.845	132.712	-6.99		0.38		Talos Dome	1	0	this study (sublimation)
1427.845	141.169	-6.59		0.34		Talos Dome	1	0	this study (sublimation)
1853.835	149.449	-6.76		0.42		EDC	1	0	this study (sublimation)
